Benu Networks,FALSE,Unknown,"$5,000,000","$26,600,000","$27,700,000",Billerica,Series C,,Mobile;Hardware;Networking;Mobile Infrastructure;
Invoice2go,FALSE,,"$35,000,000",,"$15,000,000",Sydney,Series C,51-200,Mobile;Software;Technology;Small and Medium Businesses;
Via,FALSE,,,"$27,000,000","$100,000,000",New York City,Series C,51-200,Technology;Transportation;
Coravin,FALSE,,"$11,500,000",,"$13,600,000",Burlington,Series C,,Hardware;Consumer Goods;Wine And Spirits;Food and Beverages;
Capriza,FALSE,,,,"$27,000,000",Palo Alto,Series C,11-50,SaaS;Mobile;Enterprise Software;Application Platforms;
Ditto,FALSE,"$1,400,000",,,Unknown,Cambridge,Series C,11-50,Social Media;Photo Sharing;Computer Vision;Machine Learning;
OurCrowd,FALSE,,,"$25,000,000","$72,000,000",Jerusalem,Series C,11-50,Angels;Startup;VC Firm;Startups;
Poppin,FALSE,,"$6,000,000",,"$17,000,000",New York City,Series C,201-500,Wholesale;Furniture;E-Commerce;Office Space;
BitSight,FALSE,,"$24,000,000",,"$40,000,000",Cambridge,Series C,,Big Data Analytics;Enterprise Software;Enterprise Security;
ThisNext,FALSE,Unknown,"$2,500,000","$5,000,000","$1,199,999",Santa Monica,Series C,11-50,Social Media;Social Buying;
Space Ape Games,FALSE,,,,"$7,000,000",London,Series C,11-50,Games;Mobile Games;Social Games;
Marqeta,FALSE,,"$5,567,940","$14,000,000","$25,000,000",Emeryville,Series C,51-200,Fin Tech;Financial Services;Financial Technology;
Captricity,FALSE,,"$2,400,000","$10,000,000","$35,000,000",Oakland,Series C,51-200,Big Data;Insurance;Enterprise Software;Health Care Information Technology;
Extole,FALSE,,,"$5,000,000","$14,000,000",San Francisco,Series C,51-200,Software;E-Commerce;Internet Marketing;
Euclid Analytics,FALSE,,"$5,800,000","$17,300,000","$20,000,000",San Francisco,Series C,11-50,Retail Technology;Big Data Analytics;Business Intelligence;Quantitative Marketing;
EverFi,FALSE,,"$11,000,000","$10,000,000","$40,000,000",Washington,Series C,51-200,Internet;Education;
Yotpo,FALSE,"$1,500,000",,"$15,000,000","$22,000,000",New York City,Series C,11-50,SaaS;Content Marketing;
Classy,FALSE,,,,"$30,000,000",San Diego,Series C,51-200,SaaS;Nonprofits;Ventures for Good;Social Fundraising;
ClassPass,FALSE,"$2,000,000","$12,000,000","$40,000,000","$30,000,000",New York City,Series C,51-200,Fitness;Marketplaces;Health and Wellness;Bridging Online and Offline;
Choose Energy,FALSE,,"$4,000,000","$7,500,000",,Plano,Series C,11-50,Energy;Clean Energy;Online Marketplaces;Comparison Shopping;
ElasticSearch,FALSE,,"$10,000,000","$24,000,000","$70,000,000",Los Altos,Series C,51-200,Search;Open Source;Big Data Analytics;Data Visualization;
MakeSpace,FALSE,"$1,300,000","$8,000,000","$17,500,000","$30,000,000",New York City,Series C,51-200,E-Commerce;Operations ;Self Storage;Subscription Businesses;
RiskIQ,FALSE,,"$10,000,000","$25,000,000","$30,500,000",Shawnee,Series C,51-200,Security;Cyber Security;Mobile Security;Enterprise Security;
Base CRM,FALSE,"$1,100,000","$6,800,000","$15,000,000","$30,000,000",Palo Alto,Series C,51-200,CRM;SaaS;Software;Sales Automation;
Pantheon,FALSE,"$1,300,000",,"$21,500,000","$29,000,000",San Francisco,Series C,51-200,SaaS;Web CMS;Web Development;Application Platforms;
Datadog,FALSE,,"$6,200,000","$15,000,000","$31,000,000",New York City,Series D,51-200,Analytics;Enterprise Software;Cloud Infrastructure;
InsightSquared,FALSE,"$1,000,000","$4,500,000","$8,000,000","$13,500,000",Boston,Series C,51-200,SaaS;Sales and Marketing;Business Intelligence;Small and Medium Businesses;
Hopper,FALSE,"$2,000,000","$8,000,000","$12,000,000","$82,000,000",Boston,Series C,11-50,Travel;Big Data;Online Travel;Predictive Analytics;
FiscalNote,FALSE,"$1,200,000","$7,000,000","$10,000,000","$10,000,000",Washington,Series C,51-200,SaaS;Legal;Enterprise Software;Predictive Analytics;
Path,FALSE,"$2,500,000",,"$30,000,000","$25,000,000",San Francisco,Series C,51-200,Local;Mobile;Social Media;Mobile Commerce;
Main Street Hub,FALSE,,,"$14,000,000","$25,000,000",Austin,Series C,501-1000,Local;Social Media;Email Marketing;Small and Medium Businesses;
Grovo,FALSE,,"$5,500,000","$15,000,000","$40,000,000",New York City,Series C,51-200,Education;Enterprises;Consumer Internet;Corporate Training;
Coinbase,FALSE,,"$5,000,000","$25,000,000","$75,000,000",San Francisco,Series C,51-200,Bitcoin;Mobile Payments;Digital Currency;Financial Exchanges;
VoltDB,FALSE,,"$5,000,000","$5,000,000","$8,000,000",Bedford,Series C,10-1_,Storage;Big Data;Databases;Enterprise Software;
Gogobot,FALSE,,"$4,000,000","$15,000,000","$20,000,000",Menlo Park,Series C,11-50,Mobile;Online Travel;Social Travel;Reviews and Recommendations;
Rent the Runway,FALSE,,"$15,000,000","$15,000,000","$4,400,000",New York City,Series C,201-500,Fashion;E-Commerce;
Weebly,FALSE,"$20,000",,Unknown,"$35,000,000",San Francisco,Series C,51-200,Web Tools;Curated Web;Web Development;Blogging Platforms;
FiveStars,FALSE,,,"$26,000,000","$50,000,000",San Francisco,Series C,201-500,Loyalty Programs;Small and Medium Businesses;
Campus Explorer,FALSE,,Unknown,"$2,250,000","$5,000,000",Santa Monica,Series C,51-200,Colleges;Education;Universities;High Schools;
Plum District,FALSE,,"$2,100,000",,"$20,000,000",San Francisco,Series C,11-50,Deals;Families;Parenting;E-Commerce;
Nexmo,FALSE,"$500,000","$330,000",,"$18,000,000",San Francisco,Series C,51-200,SMS;Messaging;Wholesale;Development Platforms;
YCharts,FALSE,"$1,500,000","$3,250,000","$3,875,000","$5,825,000",Chicago,Series C,11-50,Big Data;Visualization;Financial Services;Investment Management;
Skimlinks,FALSE,,"$1,500,000","$4,500,000","$16,000,000",London,Series C,51-200,Big Data;Big Data Analytics;Advertising Platforms;
